school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
West High School,XE3Q35HG0,9,Semester 1 Final,4,4,4,7,7,13,39,B,B,C,C,A,A
West High School,X1Z11C7BJ,9,Semester 1 Final,1,3,2,2,1,1,10,A,A,A,B,A,A
West High School,RG0UX664M,9,Semester 1 Final,0,1,0,0,1,1,3,A,A,A,B,A,A
West High School,9CE173OVO,9,Semester 1 Final,11,8,8,6,5,6,44,B,D,C,C,B,A
West High School,527R1XZDP,9,Semester 1 Final,22,5,7,8,8,10,60,A,A,A,A,A,A
West High School,UK1836RSH,9,Semester 1 Final,12,4,5,6,6,8,41,A,C,B,A,C,B
West High School,V2G29M6DE,9,Semester 1 Final,1,14,0,8,3,21,47,B,C,D,C,D,C
West High School,361YHM8RI,9,Semester 1 Final,45,42,16,24,21,16,164,D,B,C,B,C,C
West High School,IJ0VQ82B2,9,Semester 1 Final,5,4,5,6,5,5,30,B,A,C,B,C,C
West High School,26XPY2BC6,9,Semester 1 Final,8,7,5,7,6,4,37,A,A,A,A,A,B
West High School,0CX290DFC,9,Semester 1 Final,28,11,19,15,16,26,115,A,A,C,B,B,C
West High School,S6G20MCL4,9,Semester 1 Final,17,18,18,18,20,21,112,A,A,B,A,A,A
West High School,3D7HG71IM,9,Semester 1 Final,1,0,4,8,8,10,31,A,A,A,A,A,A
West High School,U94KF3Y3R,9,Semester 1 Final,12,13,8,24,9,24,90,D,B,C,F,C,D
West High School,X3Z3C5A7C,9,Semester 1 Final,6,7,7,8,8,9,45,A,A,A,A,A,A
West High School,052F5DDKG,9,Semester 1 Final,2,3,3,3,6,3,20,C,D,B,A,B,D
West High School,PUW5178LV,9,Semester 1 Final,0,0,0,0,0,1,1,B,D,F,F,D,D
West High School,34KUNN78Q,9,Semester 1 Final,23,5,6,10,10,8,62,A,B,C,B,C,B
West High School,VHY1957MR,9,Semester 1 Final,16,15,18,21,20,20,110,A,C,B,B,A,C
West High School,IV768D8PV,9,Semester 1 Final,2,6,2,3,2,3,18,B,A,A,B,A,A
West High School,O3A31EF8J,9,Semester 1 Final,25,25,22,24,26,24,146,C,F,F,C,C,D
West High School,YY3SD1U60,9,Semester 1 Final,64,16,12,6,5,9,112,F,B,B,B,A,B
West High School,2F00JM4AV,9,Semester 1 Final,6,4,6,6,6,7,35,B,B,A,B,A,B
West High School,1TH775TKQ,9,Semester 1 Final,3,4,4,4,4,10,29,C,B,C,A,A,A
West High School,HIB3MS297,9,Semester 1 Final,17,20,15,15,22,25,114,D,C,D,B,A,D
West High School,9ZKZ9U8T3,9,Semester 1 Final,1,1,1,1,1,1,6,A,A,A,A,C,A
West High School,0SNU4I6J2,9,Semester 1 Final,9,9,11,15,19,19,82,B,A,B,A,A,B
West High School,12W6HYOE2,9,Semester 1 Final,6,5,5,5,5,6,32,B,C,B,B,C,B
West High School,MABZR1633,9,Semester 1 Final,4,3,6,10,7,12,42,C,C,A,B,B,B
West High School,108OAK8EZ,9,Semester 1 Final,8,1,3,4,5,2,23,A,B,B,A,B,B
West High School,7Y90ZU8BF,9,Semester 1 Final,6,6,7,14,9,12,54,D,B,B,B,C,D
West High School,O63K0Q2BY,9,Semester 1 Final,13,10,11,12,13,16,75,A,B,B,A,A,A
West High School,F2V6QMR96,9,Semester 1 Final,0,1,0,1,1,0,3,A,C,A,D,A,B
West High School,T808ACXD5,9,Semester 1 Final,2,3,2,4,3,4,18,A,C,A,A,A,B
West High School,B0L43I8UA,9,Semester 1 Final,4,4,6,7,6,8,35,B,B,B,A,B,B
West High School,VG95Z4Q0U,9,Semester 1 Final,21,19,15,11,9,26,101,D,B,C,D,A,D
West High School,56KT5VLB4,9,Semester 1 Final,5,6,5,6,6,7,35,A,B,A,A,B,B
West High School,AE4E15FP1,9,Semester 1 Final,9,6,5,8,8,6,42,A,A,A,A,A,A
West High School,16BLG4MV4,9,Semester 1 Final,9,8,6,15,15,20,73,A,A,A,A,A,A
West High School,2WY20ORE0,9,Semester 1 Final,4,2,1,4,4,4,19,B,D,A,A,A,A
